0,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.03, 0.0, 0.01, 0.01, 0.03], 50: [0.04, 0.04, 0.06, 0.09, 0.02], 60: [0.06, 0.06, 0.06, 0.08, 0.08], 70: [0.11, 0.08, 0.11000000000000001, 0.08, 0.08], 80: [0.2, 0.15000000000000002, 0.1, 0.13, 0.16], 90: [0.15, 0.16, 0.19, 0.14, 0.18]}
20,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.02, 0.0, 0.01, 0.0], 50: [0.03, 0.0, 0.03, 0.02, 0.02], 60: [0.05, 0.03, 0.02, 0.04, 0.03], 70: [0.03, 0.06, 0.09, 0.06, 0.01], 80: [0.06, 0.05, 0.08, 0.04, 0.07], 90: [0.09, 0.08, 0.09, 0.07, 0.09]}
21,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.01, 0.01, 0.0, 0.0, 0.01], 70: [0.0, 0.01, 0.0, 0.0, 0.01], 80: [0.0, 0.02, 0.01, 0.01, 0.01], 90: [0.03, 0.01, 0.01, 0.01, 0.01]}
22,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.01], 40: [0.01, 0.01, 0.03, 0.05, 0.0], 50: [0.02, 0.07, 0.05, 0.06999999999999999, 0.05], 60: [0.14, 0.09, 0.12, 0.05, 0.09], 70: [0.14, 0.09, 0.12000000000000001, 0.08, 0.1], 80: [0.18, 0.13, 0.19, 0.1, 0.14], 90: [0.18, 0.22, 0.21000000000000002, 0.21000000000000002, 0.11]}
23,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.0, 0.0, 0.01, 0.0], 50: [0.01, 0.0, 0.05, 0.0, 0.01], 60: [0.02, 0.05, 0.02, 0.02, 0.04], 70: [0.01, 0.05, 0.02, 0.04, 0.04], 80: [0.05, 0.04, 0.06, 0.05, 0.05], 90: [0.09, 0.08, 0.060000000000000005, 0.05, 0.05]}
24,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.01, 0.01, 0.0], 50: [0.0, 0.0, 0.01, 0.01, 0.0], 60: [0.01, 0.0, 0.0, 0.01, 0.02], 70: [0.02, 0.01, 0.01, 0.03, 0.01], 80: [0.01, 0.02, 0.02, 0.01, 0.01], 90: [0.02, 0.01, 0.02, 0.02, 0.01]}
25,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.02, 0.0, 0.01, 0.0], 40: [0.01, 0.02, 0.06, 0.0, 0.01], 50: [0.04, 0.06, 0.15000000000000002, 0.05, 0.060000000000000005], 60: [0.12, 0.12000000000000001, 0.17, 0.19, 0.13], 70: [0.18, 0.11, 0.14, 0.15000000000000002, 0.18], 80: [0.26, 0.2, 0.19, 0.19, 0.22999999999999998], 90: [0.21000000000000002, 0.22000000000000003, 0.28, 0.28, 0.18]}
26,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.02, 0.01, 0.01], 60: [0.01, 0.01, 0.09, 0.02, 0.01], 70: [0.04, 0.05, 0.060000000000000005, 0.01, 0.02], 80: [0.060000000000000005, 0.1, 0.09, 0.08, 0.04], 90: [0.13, 0.11, 0.08, 0.04, 0.09]}
27,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.02, 0.01, 0.03, 0.0, 0.01], 50: [0.03, 0.01, 0.03, 0.02, 0.02], 60: [0.03, 0.03, 0.060000000000000005, 0.03, 0.02], 70: [0.07, 0.07, 0.08, 0.08, 0.08], 80: [0.09, 0.14, 0.13, 0.06, 0.1], 90: [0.14, 0.12, 0.07, 0.1, 0.11000000000000001]}
28,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.01, 0.0, 0.0], 50: [0.0, 0.01, 0.02, 0.01, 0.0], 60: [0.02, 0.03, 0.01, 0.01, 0.01], 70: [0.03, 0.03, 0.03, 0.03, 0.04], 80: [0.06, 0.05, 0.04, 0.05, 0.05], 90: [0.05, 0.06, 0.05, 0.05, 0.04]}
29,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.01, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.01, 0.0, 0.01, 0.0], 60: [0.01, 0.0, 0.02, 0.0, 0.0], 70: [0.0, 0.0, 0.01, 0.01, 0.0], 80: [0.0, 0.01, 0.02, 0.0, 0.02], 90: [0.02, 0.03, 0.02, 0.02, 0.01]}
30,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.01, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.02, 0.0, 0.01, 0.0], 50: [0.01, 0.01, 0.02, 0.05, 0.01], 60: [0.03, 0.04, 0.02, 0.02, 0.02], 70: [0.04, 0.06, 0.07, 0.01, 0.05], 80: [0.060000000000000005, 0.04, 0.06, 0.03, 0.06], 90: [0.03, 0.060000000000000005, 0.02, 0.05, 0.05]}
31,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.03, 0.01, 0.0], 50: [0.02, 0.03, 0.02, 0.0, 0.02], 60: [0.04, 0.03, 0.03, 0.05, 0.01], 70: [0.05, 0.03, 0.03, 0.04, 0.04], 80: [0.05, 0.06, 0.060000000000000005, 0.07, 0.01], 90: [0.07, 0.11000000000000001, 0.11, 0.07, 0.07]}
32,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.01], 40: [0.0, 0.01, 0.02, 0.01, 0.0], 50: [0.01, 0.02, 0.0, 0.0, 0.0], 60: [0.01, 0.01, 0.02, 0.0, 0.01], 70: [0.01, 0.02, 0.01, 0.02, 0.01], 80: [0.0, 0.02, 0.02, 0.02, 0.0], 90: [0.03, 0.01, 0.01, 0.02, 0.01]}
33,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.0, 0.0, 0.01, 0.01], 50: [0.02, 0.0, 0.02, 0.01, 0.01], 60: [0.01, 0.01, 0.01, 0.01, 0.02], 70: [0.02, 0.01, 0.03, 0.03, 0.06], 80: [0.05, 0.06, 0.06, 0.04, 0.04], 90: [0.07, 0.09, 0.04, 0.08, 0.05]}
34,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.01, 0.01, 0.0, 0.0, 0.01], 60: [0.01, 0.01, 0.0, 0.01, 0.0], 70: [0.0, 0.01, 0.0, 0.01, 0.01], 80: [0.01, 0.0, 0.01, 0.01, 0.01], 90: [0.01, 0.0, 0.01, 0.01, 0.02]}
35,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.0, 0.01, 0.01, 0.01, 0.01], 70: [0.01, 0.01, 0.01, 0.01, 0.01], 80: [0.0, 0.01, 0.01, 0.01, 0.01], 90: [0.0, 0.01, 0.01, 0.01, 0.02]}
36,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.01, 0.0, 0.01, 0.0, 0.0], 40: [0.0, 0.02, 0.03, 0.0, 0.03], 50: [0.04, 0.04, 0.01, 0.05, 0.03], 60: [0.05, 0.05, 0.07, 0.03, 0.03], 70: [0.02, 0.07, 0.07, 0.07, 0.02], 80: [0.05, 0.08, 0.07, 0.08, 0.07], 90: [0.09, 0.11000000000000001, 0.08, 0.08, 0.03]}
37,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.01, 0.01, 0.0, 0.01], 50: [0.01, 0.0, 0.0, 0.0, 0.01], 60: [0.01, 0.0, 0.01, 0.0, 0.0], 70: [0.01, 0.01, 0.0, 0.01, 0.01], 80: [0.01, 0.03, 0.03, 0.01, 0.02], 90: [0.01, 0.02, 0.01, 0.01, 0.02]}
38,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.01, 0.0, 0.0, 0.0, 0.01], 40: [0.02, 0.05, 0.01, 0.04, 0.03], 50: [0.09, 0.04, 0.03, 0.13, 0.01], 60: [0.15, 0.15000000000000002, 0.16, 0.12000000000000001, 0.08], 70: [0.19, 0.28, 0.21000000000000002, 0.18, 0.22], 80: [0.25, 0.27, 0.29000000000000004, 0.23, 0.24000000000000002], 90: [0.36, 0.33999999999999997, 0.25, 0.33999999999999997, 0.26]}
39,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.01, 0.02], 40: [0.01, 0.03, 0.04, 0.05, 0.0], 50: [0.05, 0.06, 0.06, 0.06, 0.03], 60: [0.16999999999999998, 0.06, 0.1, 0.1, 0.12000000000000001], 70: [0.15000000000000002, 0.16, 0.16, 0.16999999999999998, 0.15000000000000002], 80: [0.11000000000000001, 0.18, 0.15000000000000002, 0.17, 0.19], 90: [0.18, 0.22999999999999998, 0.16, 0.24, 0.21]}
40,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.01, 0.02, 0.02], 50: [0.02, 0.01, 0.0, 0.02, 0.02], 60: [0.02, 0.04, 0.03, 0.04, 0.04], 70: [0.03, 0.02, 0.04, 0.05, 0.02], 80: [0.09, 0.06, 0.06, 0.1, 0.06], 90: [0.1, 0.06, 0.08, 0.06, 0.06]}
41,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.02, 0.01, 0.03, 0.01, 0.0], 50: [0.02, 0.08, 0.02, 0.03, 0.04], 60: [0.05, 0.05, 0.07, 0.09, 0.09], 70: [0.11000000000000001, 0.09, 0.11, 0.11, 0.11000000000000001], 80: [0.13, 0.13, 0.16999999999999998, 0.11, 0.11], 90: [0.2, 0.21000000000000002, 0.2, 0.15, 0.16]}
42,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.01, 0.0, 0.0, 0.01, 0.02], 70: [0.04, 0.01, 0.03, 0.02, 0.03], 80: [0.04, 0.02, 0.02, 0.03, 0.03], 90: [0.04, 0.06, 0.02, 0.04, 0.04]}
43,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.01, 0.0], 40: [0.0, 0.0, 0.01, 0.02, 0.0], 50: [0.01, 0.01, 0.04, 0.01, 0.01], 60: [0.06, 0.04, 0.02, 0.01, 0.05], 70: [0.08, 0.04, 0.04, 0.06, 0.07], 80: [0.11000000000000001, 0.05, 0.05, 0.06, 0.05], 90: [0.09, 0.11, 0.07, 0.04, 0.11]}
44,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.01, 0.0, 0.0, 0.0], 50: [0.0, 0.01, 0.0, 0.01, 0.0], 60: [0.01, 0.02, 0.02, 0.0, 0.01], 70: [0.01, 0.02, 0.03, 0.03, 0.03], 80: [0.01, 0.03, 0.01, 0.02, 0.02], 90: [0.04, 0.01, 0.04, 0.03, 0.03]}
45,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.01, 0.0, 0.0, 0.0, 0.02], 40: [0.05, 0.04, 0.05, 0.07, 0.03], 50: [0.1, 0.11000000000000001, 0.14, 0.12, 0.11], 60: [0.23, 0.15000000000000002, 0.2, 0.2, 0.22], 70: [0.24, 0.25, 0.16999999999999998, 0.22999999999999998, 0.25], 80: [0.31, 0.31, 0.33999999999999997, 0.28, 0.32999999999999996], 90: [0.28, 0.36, 0.37, 0.33999999999999997, 0.32]}
46,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.01, 0.0, 0.0], 40: [0.01, 0.0, 0.01, 0.03, 0.01], 50: [0.02, 0.03, 0.07, 0.05, 0.03], 60: [0.07, 0.06, 0.08, 0.1, 0.08], 70: [0.11, 0.14, 0.13, 0.14, 0.14], 80: [0.16, 0.24, 0.16, 0.19, 0.16999999999999998], 90: [0.09, 0.14, 0.14, 0.16999999999999998, 0.18]}
47,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.01, 0.0], 60: [0.01, 0.02, 0.0, 0.0, 0.01], 70: [0.05, 0.03, 0.01, 0.03, 0.0], 80: [0.02, 0.02, 0.05, 0.04, 0.04], 90: [0.04, 0.09, 0.06, 0.11, 0.03]}
48,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.0, 0.0, 0.0, 0.01], 50: [0.0, 0.0, 0.02, 0.01, 0.02], 60: [0.01, 0.01, 0.02, 0.03, 0.03], 70: [0.02, 0.02, 0.01, 0.01, 0.01], 80: [0.07, 0.04, 0.04, 0.03, 0.07], 90: [0.04, 0.09000000000000001, 0.04, 0.05, 0.04]}
49,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.01, 0.0, 0.0, 0.0], 50: [0.01, 0.01, 0.0, 0.02, 0.0], 60: [0.01, 0.0, 0.0, 0.01, 0.01], 70: [0.02, 0.01, 0.02, 0.03, 0.0], 80: [0.02, 0.01, 0.06, 0.03, 0.02], 90: [0.04, 0.06, 0.05, 0.04, 0.03]}
50,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.01, 0.0, 0.0], 40: [0.01, 0.0, 0.0, 0.04, 0.02], 50: [0.03, 0.05, 0.03, 0.04, 0.05], 60: [0.1, 0.09, 0.06, 0.08, 0.04], 70: [0.1, 0.1, 0.13, 0.09000000000000001, 0.08], 80: [0.12000000000000001, 0.11000000000000001, 0.13, 0.16999999999999998, 0.15000000000000002], 90: [0.2, 0.19, 0.12000000000000001, 0.16, 0.12]}
